tahun,provinsi,pengangguran,ump,lpengangguran,lump
2011,Sulawesi Tengah ,58811,827500,10.982084,13.626164
2012,Sulawesi Tengah ,53120,885000,10.880309,13.693343
2013,Sulawesi Tengah ,37131,995000,10.522207,13.810498
2014,Sulawesi Tengah ,41716,1250000,10.63864,14.038654
2015,Sulawesi Tengah ,42608,1500000,10.659798,14.220976
2016,Sulawesi Tengah ,51697,1670000,10.853155,14.328334
2018,Sulawesi Tengah ,50029,1965232,10.820358,14.491121
2019,Sulawesi Tengah ,54518,2123040,10.906286,14.568359
2020,Sulawesi Tengah ,46997,2303711,10.757839,14.650032
2008,Sulawesi Tenggara ,58253,700000,10.972551,13.458836
2009,Sulawesi Tenggara ,53067,770000,10.879311,13.554146
2010,Sulawesi Tenggara ,49297,860000,10.805618,13.664688
2011,Sulawesi Tenggara ,47747,930000,10.773671,13.74294
2012,Sulawesi Tenggara ,35524,1032300,10.477963,13.8473
2013,Sulawesi Tenggara ,37263,1125207,10.525756,13.933477
2014,Sulawesi Tenggara ,24170,1400000,10.092868,14.151983
2015,Sulawesi Tenggara ,42278,1652000,10.652022,14.317497
2016,Sulawesi Tenggara ,45819,1850000,10.732454,14.430696
2018,Sulawesi Tenggara ,37177,2177052,10.523445,14.593482
2019,Sulawesi Tenggara ,38785,2351870,10.565789,14.670721
2020,Sulawesi Tenggara ,42321,2552015,10.653039,14.752394
2008,Sulawesi Utara ,129302,845000,11.769906,13.647092
2009,Sulawesi Utara ,114528,929500,11.648575,13.742402
2010,Sulawesi Utara ,112608,1000000,11.631668,13.815511
2011,Sulawesi Utara ,105247,1050000,11.564065,13.864301
2012,Sulawesi Utara ,97349,1250000,11.486057,14.038654
2013,Sulawesi Utara ,83650,1550000,11.334396,14.253765
2014,Sulawesi Utara ,84241,1900000,11.341437,14.457364
2015,Sulawesi Utara ,102602,2150000,11.538612,14.580978
2016,Sulawesi Utara ,92648,2400000,11.436563,14.690979
2018,Sulawesi Utara ,74858,2824286,11.223349,14.853766
2019,Sulawesi Utara ,62623,3051076,11.044888,14.931005
2020,Sulawesi Utara ,66274,3310723,11.101553,15.012677
2008,Sumatera Barat ,206740,800000,12.239217,13.592367
2009,Sumatera Barat ,172253,880000,12.05672,13.687677
2010,Sumatera Barat ,172084,940000,12.055738,13.753635
2011,Sumatera Barat ,174176,1055000,12.067822,13.869051
2012,Sumatera Barat ,156289,1150000,11.959462,13.955273
2013,Sumatera Barat ,156977,1350000,11.963855,14.115615
2014,Sumatera Barat ,158236,1490000,11.971843,14.214287
2015,Sumatera Barat ,148677,1615000,11.909532,14.294846
2016,Sumatera Barat ,149687,1800725,11.916302,14.4037
2018,Sumatera Barat ,160336,2119067,11.985027,14.566486
2019,Sumatera Barat ,149083,2289220,11.912258,14.643722
2020,Sumatera Barat ,152267,2484041,11.933391,14.725397
2008,Sumatera Selatan ,292054,743000,12.584694,13.518452
2009,Sumatera Selatan ,292234,824730,12.58531,13.622811
2010,Sumatera Selatan ,237118,927825,12.376313,13.740599
2011,Sumatera Selatan ,239276,1048440,12.385373,13.862814
2012,Sumatera Selatan ,221934,1195220,12.310135,13.993841
2013,Sumatera Selatan ,213638,1630000,12.272038,14.30409
2014,Sumatera Selatan ,154467,1825000,11.947736,14.41709
2015,Sumatera Selatan ,202219,1974346,12.217107,14.495748
2016,Sumatera Selatan ,159525,2206000,11.979956,14.606691
2018,Sumatera Selatan ,180354,2595995,12.102676,14.769481
2019,Sumatera Selatan ,176328,2804453,12.080101,14.846719
2020,Sumatera Selatan ,170531,3043111,12.046673,14.928391
2008,Sumatera Utara ,566478,822205,13.247193,13.619745
2009,Sumatera Utara ,521643,905000,13.164739,13.715691
2010,Sumatera Utara ,512825,965000,13.14769,13.779883
2011,Sumatera Utara ,485379,1035500,13.092686,13.850395
2012,Sumatera Utara ,429867,1200000,12.971231,13.997832
2013,Sumatera Utara ,403797,1375000,12.908668,14.133965
2014,Sumatera Utara ,402410,1505850,12.905227,14.224868
2015,Sumatera Utara ,421232,1625000,12.950939,14.301019
2016,Sumatera Utara ,427964,1811875,12.966794,14.409873
2018,Sumatera Utara ,422921,2132189,12.954941,14.572659
2019,Sumatera Utara ,434342,2303403,12.981587,14.649899
2020,Sumatera Utara ,360993,2499423,12.796614,14.73157
